kod|ad|alis_tarihi|borc_toplami|kullanim_yeri|zimmetli_kisi
253.003.001.036|Fırçalı Dış Yıkama Makinesi||47.626,00||47.626,00
253.003.001.037|Transpalet||5.100,00||5.100,00
253.003.001.038|Damacana Dolum Makinesi||41.300,00||41.300,00
253.003.001.039|Ozon Temas Sistemi (Paslanmaz Çelik Su Tankı)||46.070,00||46.070,00
253.003.001.040|Pompa-KoIIektör-Vana-Boru||103.912,00||103.912,00
253.003.001.041|Ultrafilitresyon Ünite (Veolia)||112.766,00||112.766,00
253.003.001.042|Soğutmalı İnkübatör-ştrilizatör||19.280,00||19.280,00
253.003.001.043|Kuyu Bacası-YükIeme Rampası _(Demirbaş Mahiyetinde||2.900,00||2.900,00
253.003.001.044|Yükleme Alanı Sondurma (Demirbaş Mahiyetinde Değ||4.000,00||4.000,00
253.003.001.045|Yükleme Alanı Sundurmana Trapez Sac_(Demirbaş Mahi||4.400,00||4.400,00
253.003.001.046|Hidrofor Seti (Fatura Yok)||90.825,00||90.825,00
253.003.001.047|Trapez Sac Güçlü Boru Profil _(Demirbaş Mahiyetin||5.657,60||5.657,60
253.003.001.049|Komproser Ve Parçaları||198.000,00||198.000,00
253.003.022.001|Filiz Fab. Damacana Hattı Revizyonu _(GüzeIcekaIe)||35.000,00||35.000,00
253.003.022.002|Filiz Fabrika Trafo_(GüzeIcekaIe)||155.000,00||155.000,00
253.003.022.003|Ozon Mak Prob Kalibrasyon Ekran Tamiri Yeni Ekran||17.250,00||17.250,00
253.003.023.001|Damacana Makinası Tamir Bakım (İrfan Pompa Motor S||19.237,44||19.237,44
253.003.023.002|Antifiriz Marş Dinamosu Isıtma Bujileri (Hiska İş||30.380,00||30.380,00
253.003.023.003|Damacana Yükleme Robotu (Abdullah Kamçı Plastik)||78.000,00||78.000,00
253.003.023.004|Komatsu Fg18t-20 (Hiska İş Makinaları San. Tic.)||10.190,00||10.190,00
253.003.024.001|Tırnaklı Dönüşlü Band (Çağrı Endüstriyel)||17.011,91||17.011,91
253.003.024.002|Yedek Parça (Jet Kodlama)||10.890,92||10.890,92
253.004.001.001|4 Ton Su Deposu||424,00||424,00
253.004.001.002|Tarih Atma Makinası (Inkjet)-Bağiçi||7.520,29||7.520,29
253.004.001.005|30 Kva Voltaj Regülatörü||3.250,00||3.250,00
253.004.001.006|Paslanmaz Çelik Su Tankı||7.992,00||7.992,00
253.004.001.007|Paslanmaz Çelik Su Tankı||12.500,00||12.500,00
253.004.001.008|Merck Nova 60 Su Ve Atık Su Analiz||7.500,00||7.500,00
253.004.001.009|Ph Metre Cihazı||460,00||460,00
253.004.001.010|Yıkama-DoIum-Kapatma Makinası (Damacana)||474.290,00||474.290,00
253.004.001.013|Streç Makinası||15.500,00||15.500,00
253.004.001.017|Koli Bant. Makinası Startape||9.945,95||9.945,95
253.004.001.020|Forklift (Hister)||36.002,10||36.002,10
253.004.001.022|Preform Dizgi Ünitesi||180.000,00||180.000,00
253.004.001.023|Macro Marka Bm 1519/2 Pet Şişirme Makinesi||192.850,00||192.850,00
253.004.001.024|Preforum Taşıyıcısı||33.276,00||33.276,00
253.004.001.025|5 Lt.KompIe Kapatma Kafası (55 Ve 73 Birleşecek)||3.340,00||3.340,00
253.004.001.026|Aoy 25 Soğutma Grubu||11.800,00||11.800,00
253.004.001.027|Servo Motor||5.989,00||5.989,00
253.004.001.029|8 Ton Ozan Temas Tankı (106 İle Birleşecek)||11.870,00||11.870,00
253.004.001.030|Boge Basınç Kompresörü||15.516,90||15.516,90
253.004.001.031|Vıdojet Technologies Ltd.Şti.||8.324,65||8.324,65
253.004.001.032|Strec Film Sarma Makinası||6.780,00||6.780,00
253.004.001.033|Forklift Dizel 2,5 (Komatsu)||61.804,60||61.804,60
253.004.001.037|Ozon Dezenfeksiyon Sistemi||48.520,00||48.520,00
253.004.001.038|Ozon Temas Tankı||40.582,43||40.582,43
253.004.001.039|Ani Su Isıtıcı||49.442,00||49.442,00
253.004.001.040|Inkjet Printer||13.434,00||13.434,00
253.004.001.041|230 Kva Jeneratör||64.900,00||64.900,00
253.004.001.043|Kulp Takma Makinası-KodIama-EtiketIeme||2.710.312,71||2.710.312,71
253.004.001.044|Atlanta-Cosme Krones- 5'Iik Pet Hattı||10.832.208,71||10.832.208,71
253.004.001.045|Inform Pyramıd DSP||50.740,00||50.740,00
253.004.001.046|Non Micro Ters Ozmoz Cihazı||402.415,00||402.415,00
253.004.001.047|Jumbo Housnıg-FiItre Jumbo-FiItre Housıng-Membran||92.773,00||92.773,00
253.004.001.048|Inport Ups||50.445,00||50.445,00
253.004.001.049|Rampalama Emniyet Bariyeri _Demirbaş Mahiyetinde D||4.560,00||4.560,00
253.004.022.001|İnci Su Gölbaşı Variopack Shrınk Yedek Parçası _(D||5.734,90||5.734,90
253.004.022.002|Gölbaşı Fab Kompanzasyon Kalıp Hava Tahliye Bobini||30.802,80||30.802,80
253.004.022.003|İnci Su Gölbaşı Kosme Şişirme Mak Giriş Ve Çıkış Y||7.668,24||7.668,24
253.004.023.001|Bağiçi Fabrika Panel Montaj (Azimyapı Soğutma) _(||21.051,15||21.051,15
253.004.023.005|Trafo Bakım Onarım (Mayen Enerji Ltd. Şti.) (_Haym||91.340,00||91.340,00
253.004.023.015|80 Gr Ozon Mak Hava Giriş Valfi (Narlıbahçe Doğal||48.234,00||48.234,00
253.004.023.016|Sensor Plate Sürme Levha (Bosforo Müh. Proje San.||54.302,29||54.302,29
253.004.023.019|Dönüşlü Bant Dişlisi (Çağrı Endüstri Malları San.||25.090,44||25.090,44
253.004.023.020|Damacana Makinası Otomasyon (Nejmettin Acar)||18.000,00||18.000,00
253.004.023.022|Rediktör Dişli Takımı (Kamçı Plastik Makina San. T||83.990,00||83.990,00
253.004.023.023|Makine Yedek Parça (Xform Mühendislik Ltd. Şti.)||15.000,00||15.000,00
253.004.023.024|Forklıft Fg25 T -16 Bakım Onarım (Hiska İş Makina||9.310,00||9.310,00
253.004.023.025|Paketleme Sarı Pim Şişirme Kalıp Pimi Etiket Mili||14.172,77||14.172,77
