kod|ad|tutar|alis_tarihi|kullanim_yeri
253.023.051|TERS OZMOZ süRücü (SİMTESELEKTRİK MALZEMELRİ Tic. VE SAN.)|522.274,70|6.12.2023|Bağiçi
253.023.052|KOMATSU FG18T-20 (HişKA İŞ MAKİNALARI SAN. Tic.)|510.190,00|11.12.2023|Güzelcekele
253.023.053|KOMATSU TON (HişKA İŞ MAKİNALARI SAN. Tic.)|511.490,00|11.12.2023|Bağiçi
253.023.054|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. Tic.)|532.439,97|18.12.2023|Haymana
253.023.055|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. Tic.)||18.12.2023|Haymana
253.023.056|KRONES ŞİŞİRME KALIP KEÇE TAKIMI (SAMET YILMAZ)|529.166,67|18.12.2023|Haymana
253.023.057|ÇELİK RAF (TÜRKER DEMİR)|532.672,00|18.12.2023|Bağiçi
253.023.058|KRONES MAKİNA BAKIMI (KRONES MAKİNA SAN. Tic.)|578.194,00|25.12.2023|Bağiçi
253.023.059|11 KW LOWARA POMPA MOTOR SARIMI GRUNDFOS 18.5 KW (İSMAİL ARDIÇ)|58.500,00|27.12.2023|Haymana
253.023.060|38 MM KULP HAVALI ÇEVİRME SİSTEMİ (KAÇI PLASTİK)|525.000,00|29.12.2023|Bağiçi
253.024.001|DAMACANA OTOMASYONU (SİMERA GRUP MAKİNA)|520.645,00|6.01.2024|Bağiçi
253.024.002|OZON JEN OKSİJEN DEĞİŞİMİ (NARLIBAHÇE DOĞAL)|539.125,00|8.01.2024|Bağiçi
253.024.003|DAMACANA MAKİNASI MONTAJ VE SU AYARI (MEHMET OKAN ÜNAL)|510.000,00|12.01.2024|Bağiçi
253.024.004|SHRİNK MAKİNASI REDÜKTÖR TAMİRİ (SİMERA GRUP MAKİNA)|561.380,00|17.01.2024|Bağiçi
253.024.005|KONVEYOR KONVEKTÖR SETİ (KRONES MAKİNA)|5477.233,23|17.01.2024|Haymana
253.024.006|6 ADET KONVEKTÖR DişLisi (ÇAĞRI ENDÜSTRİYEL)|522.905,35|18.01.2024|Bağiçi
253.024.007|ŞİŞİRME MAKİNASI SENSÖRÜ (KİM ELEKTRONİK)|514.619,60|18.01.2024|Haymana
253.024.008|OZONLOMA TANKI POMPA DEĞİŞİMİ (KHROME MAKİNA)|515.115,00|23.01.2024|Haymana
253.024.009|ısı TÜNELİ İMALAT VE MONTAJI (KHROME MAKİNA)||23.01.2024|Bağiçi
253.024.010|CONTROL CARD 12 MB KONTROLSER OTOMASYON|514.823,14|26.01.2024|Haymana
253.024.011|PALETLEME MAKİNASI OTOMASYON (KHROME MAKİNA)|545.000,00|7.02.2024|Haymana
253.024.012|5 LT HAT DÖNÜŞLÜ BANT DişLisi (GURUR İNŞAAT)|514.416,00|8.02.2024|Bağiçi
253.024.013|MAKİNA BAKIM ONARIM (KRONES MAKİNA)|526.742,80|9.02.2024|Haymana
253.024.014|ANTİFROGEN KOROZYON DON ÖNLEYİCİ (BOTES MÜHENDİSLİK)|520.526,91|13.02.2024|Haymana
253.024.015|SHRINK MAK REZİSTANS KABLO VE PABUÇ (AKÇAY REZİSTANS)|518.050,00|14.02.2024|Bağiçi
253.024.016|POWER CONTROLLER (KRONES MAKİNA)|592.576,58|14.02.2024|Haymana
253.024.017|40 BAR KOMPROSÖR VE HAVA KURUTUCU (HASAN SEVİNDİK)||14.02.2024|Bağiçi
253.024.018|TIRNAKLI DÖNÜŞLÜ BAND (ÇAĞRI ENDÜSTRİYEL)|517.011,91|26.02. 2024|Güzelcekele
253.024.019|TERS OZMOZ KONDÜKTÖRÜ (AYDINLAR ELEKTRİK)|526.581,10|26.02. 2024|Bağiçi
253.024.020|YEDEK PARÇA (JET KODLAMA)|510.890,92|26.02. 2024|Güzelcekele
253.024.021|1 ADET 2.EL LİNDE MARKA FORKLİFT (GiMSA PERAKENDE) Bağiçi||6.03. 2024|Bağiçi
253.024.021|1 ADET 2.EL LİNDE MARKA FORKLİFT (GiMSA PERAKENDE) Haymana||6.03. 2024|Haymana
253.024.022|MAKİNA BAKIM ONARIM (KRONES MAKİNA)||13.03. 2024|Bağiçi
253.024.023|MAKİNA BAKIM ONARIM (KRONES MAKİNA)|556.834,46|13.03. 2024|Haymana
253.024.024|5 LT ETİKET MAKİNASI BAKIM ONARIM (KRONES MAKİNA)|533.761,49|20.03. 2024|Bağiçi
253.024.025|FORLİFT TAMİR BAKIM (ANKARA İSTİF)|565.000,00|22.03. 2024|Haymana
253.024.026|MAKİNA BAKIM ONARIM (KRONES MAKİNA)|544.973,53|25.03. 2024|Haymana
253.024.027|TARİH KODLAMA MAKİNASI BAKIM ONARIM (JET KODLAMA)|518.073,90|26.03. 2024|Haymana
253.024.028|ETİKET MAKİNASI BAKIM ONARIM (KRONES MAKİNA)|599.536,58|20.08.2024|Haymana
253.024.029|KOSME PALETLEME BÖLÜMÜ BAKIM ONARIM (KRONES MAKİNA)|579.569,42|2.10.2024|Bağiçi
