Sıra No;İrsaliye No;Nakliye Tarihi;Çıkış Yeri;Sevk Yeri;Birim Fiyat;Birim Fiyat %40;Motorin Baz Fiyatı;Günlük Motorin Fiyatı;Motorin Fiyat Farkı;Motorin Fiyat Farkı %;Zam / İndirim;KDV Hariç Toplam;KDV Tutarı;KDV Tevkifat;Toplam Fiyat;;;
33;SEI2026000000500;12.02.2026;GÜZELCEKALE;ÇİFTLİK;₺5.445,00;₺2.178,00;₺54,766;₺57,750;₺2,98;5,45%;₺0,00;₺5.445,00;₺1.089,00;₺217,80;₺6.316,20;;;
34;SEI2026000000496;12.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,750;₺2,98;5,45%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
35;SEI2026000000493;12.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,750;₺2,98;5,45%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
36;SEI2026000000510;13.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,760;₺2,99;5,47%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
37;SEI2026000000502;13.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,760;₺2,99;5,47%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
38;SEI2026000000511;13.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,760;₺2,99;5,47%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
39;SEI2026000000517;14.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,770;₺3,00;5,49%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
40;SEI2026000000518;14.02.2026;GÜZELCEKALE;ÇİFTLİK;₺5.445,00;₺2.178,00;₺54,766;₺57,770;₺3,00;5,49%;₺0,00;₺5.445,00;₺1.089,00;₺217,80;₺6.316,20;;;
41;SEI2026000000524;14.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,770;₺3,00;5,49%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
42;SEI2026000000531;16.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,770;₺3,00;5,49%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
43;SEI2026000000534;16.02.2026;GÜZELCEKALE;ÇİFTLİK;₺5.445,00;₺2.178,00;₺54,766;₺57,770;₺3,00;5,49%;₺0,00;₺5.445,00;₺1.089,00;₺217,80;₺6.316,20;;;
44;SEI2026000000537;16.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,770;₺3,00;5,49%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
45;SEI2026000000543;17.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,788;₺3,02;5,52%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
46;SEI2026000000542;17.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,788;₺3,02;5,52%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
47;SEI2026000000551;17.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,788;₺3,02;5,52%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
48;SEI2026000000562;18.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,798;₺3,03;5,54%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
49;SEI2026000000558;18.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,798;₺3,03;5,54%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
50;SEI2026000000573;19.02.2026;GÜZELCEKALE;ÇİFTLİK;₺5.445,00;₺2.178,00;₺54,766;₺57,807;₺3,04;5,55%;₺0,00;₺5.445,00;₺1.089,00;₺217,80;₺6.316,20;;;
51;SEI2026000000574;19.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,807;₺3,04;5,55%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
52;SEI2026000000579;19.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,807;₺3,04;5,55%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
53;SEI2026000000572;19.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,807;₺3,04;5,55%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
54;SEI2026000000593;20.02.2026;GÜZELCEKALE;ÇİFTLİK;₺5.445,00;₺2.178,00;₺54,766;₺57,831;₺3,07;5,60%;₺0,00;₺5.445,00;₺1.089,00;₺217,80;₺6.316,20;;;
55;SEI2026000000598;20.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,831;₺3,07;5,60%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
56;SEI2026000000595;20.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,831;₺3,07;5,60%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
57;SEI2026000000589;20.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,831;₺3,07;5,60%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
